Date,Open,Close,Volume,gap,upDown
2011-07-28,5.52,5.634,4693500,2.06,1
2011-07-29,5.56,5.634,4741000,1.33,1
2011-08-01,5.734,5.754,5824500,0.34,0
2011-08-02,5.738,5.468,7747000,-4.7,-1
2011-08-03,5.5,5.44,8972500,-1.09,-1
2011-08-04,5.302,4.95,15322500,-6.63,-1
2011-08-05,4.998,4.848,9822000,-3.0,-1
2011-08-08,4.62,4.728,13042500,2.33,1
2011-08-09,4.83,5.012,6667000,3.76,1
2011-08-10,5.088,4.764,7821000,-6.36,-1
2011-08-11,4.808,5.06,4182500,5.24,1
2011-08-12,5.12,5.262,5045500,2.77,1
2011-08-15,5.324,5.246,3693000,-1.46,-1
2011-08-16,5.226,5.22,2688500,-0.11,0
2011-08-17,5.278,5.166,3218500,-2.12,-1
2011-08-18,5.0,4.852,5283000,-2.95,-1
2011-08-19,4.772,4.46,6876500,-6.53,-1
2011-08-22,4.622,4.39,4930500,-5.01,-1
2011-08-23,4.386,4.592,4345000,4.69,1
2011-08-24,4.62,4.774,3421500,3.33,1
2011-08-25,4.774,4.622,3399000,-3.18,-1
2011-08-26,4.542,4.746,3809000,4.49,1
2011-08-29,4.844,4.942,4017000,2.02,1
2011-08-30,4.9,4.926,1831000,0.53,0
2011-08-31,4.96,4.948,4119000,-0.24,0
2011-09-01,4.932,4.8,4240500,-2.67,-1
2011-09-02,4.732,4.614,3849500,-2.49,-1
2011-09-06,4.5,4.588,4049000,1.95,1
2011-09-07,4.678,4.768,2296000,1.92,1
2011-09-08,4.716,4.722,2528500,0.12,0
2011-09-09,4.674,4.594,3346500,-1.71,-1
2011-09-12,4.5,4.576,2833000,1.68,1
2011-09-13,4.602,4.816,3632500,4.65,1
2011-09-14,4.85,4.868,4154000,0.37,0
2011-09-15,4.916,4.964,2813000,0.97,0
2011-09-16,4.956,5.16,7085500,4.11,1
2011-09-19,4.99,5.154,5787000,3.28,1
2011-09-20,5.196,5.202,5902000,0.11,0
2011-09-21,5.19,5.17,4938000,-0.38,0
2011-09-22,5.128,5.126,3879000,-0.03,0
2011-09-23,5.098,5.276,5782000,3.49,1
2011-09-26,5.304,5.104,4674000,-3.77,-1
2011-09-27,5.2,5.238,3372500,0.73,0
2011-09-28,5.2,4.918,3616500,-5.42,-1
2011-09-29,5.144,4.824,4648000,-6.22,-1
2011-09-30,4.96,4.878,6680500,-1.65,-1
2011-10-03,4.99,4.746,5116000,-4.88,-1
2011-10-04,4.658,4.732,6001500,1.58,1
